ກປ.ອອນໄລ - ມື້ນີ້ແມ່ນມື້ສະເຫຼີມສະຫຼອງ 30 ປີແຫ່ງວັນສະຖາປະນາສະຫະພັນລັດເຊຍ (12-6-1990 / 12-6-2020).	KPR Online - Hôm nay là kỷ niệm 30 năm Ngày thành lập Liên bang Nga (12-6-1990 / 12-6-2020).
ເຖິງຢ່າງໃດກໍ່ຕາມ, ຊາວລັດເຊຍ, ຍ້ອນມີນິດໄສດຸໝັ່ນຂະຫຍັນພຽນອອກແຮງງານ ແລະສາມັກຄີກັນ, ຈຶ່ງແກ້ໄຂໄດ້ບັນດາໜ້າທີ່ອັນຮີບດ່ວນ.	Tuy nhiên, người Nga do làm việc chăm chỉ và đoàn kết nên đã giải quyết được những vấn đề cấp bách.
ປະເທດລັດເຊຍ ປະສົບຜົນສຳເລັດໃນການປົກປັກຮັກສາອຳນາດອະທິປະໄຕຂອງປະເທດຊາດ, ສ້າງຕັ້ງລະບົບການເມືອງປະຊາທິປະໄຕ ແລະພື້ນຖານເສດຖະກິດຕະຫຼາດໄດ້ໃນໄລຍະສັ້ນ, ຮັບປະກັນກຳລັງແຮງບົ່ມຊ້ອນດ້ານປ້ອງກັນຊາດ ແລະປັບປຸງຖານະທີ່ຕັ້ງຂອງຕົນໃນເວທີສາກົນ.	Nga đã thành công trong việc bảo vệ chủ quyền của mình, thiết lập hệ thống chính trị dân chủ và kinh tế thị trường trong ngắn hạn, đảm bảo một lực lượng quốc phòng mạnh và nâng cao vị thế của mình trên trường quốc tế.
ປີ 2019 ແມ່ນປີທີ່ບໍ່ງ່າຍດາຍສຳລັບປະເທດລັດເຊຍ.	2019 không phải là một năm dễ dàng đối với Nga.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ເຖິງວ່າມີບັນດາສິ່ງທ້າທາຍເກີດຂຶ້ນພາຍໃນ ແລະຕ່າງປະເທດກໍ່ຕາມ, ແຕ່ພວກຂ້າພະເຈົ້າກໍ່ປະສົບຜົນສຳເລັດໃນການພັດທະນາເສດຖະກິດ.	Tuy nhiên, bất chấp những thách thức trong và ngoài nước, chúng ta đã thành công trong việc phát triển nền kinh tế.
ການເຕີບໂຕ GDP ຂອງລັດເຊຍ ບັນລຸລະດັບກວ່າ 1,5%, ດັດຊະນີຜະລິດອຸດສາຫະກໍາເພີ່ມຂຶ້ນ 2,4%, ທຶນໃນການລົງທຶນກໍ່ສ້າງເພີ່ມຂຶ້ນ 1,7%.	Tăng trưởng GDP của Nga đạt hơn 1,5%, chỉ số sản xuất công nghiệp tăng 2,4% và đầu tư xây dựng tăng 1,7%.
ໄພເງິນເຟີ້ ແລະໜີ້ສາທາລະນະໄດ້ຮັກສາຢູ່ໃນລະດັບຕ່ຳທີ່ສຸດ, ການຮັບປະກັນຊີວິດສັງຄົມໄດ້ຮັບການປັບປຸງຢ່າງເຫັນໄດ້ຊັດ.	Lạm phát và lạm phát công được giữ ở mức tối thiểu, an sinh xã hội được cải thiện rõ rệt.
ລັດເຊຍ ສືບຕໍ່ປະຕິບັດນະໂຍບາຍພົວພັນຕ່າງປະເທດຂອງຕົນແມ່ນເພື່ອແນໃສ່ເປົ້າໝາຍພັດທະນາການຮ່ວມມືໃຫ້ເປັນຫຼາຍຮູບຫຼາຍແບບກັບບັນດາຄູ່ຮ່ວມມືຕ່າງປະເທດບົນພື້ນຖານຕ່າງຝ່າຍຕ່າງມີຜົນປະໂຫຍດ, ແກ້ໄຂກໍລະນີປະທະກັນ ແລະວິກິດການດ້ວຍສັນຕິວິທີ, ປັບປຸງຄວາມໝັ້ນຄົງ...	Nga tiếp tục theo đuổi chính sách đối ngoại của mình với mục tiêu phát triển hợp tác nhiều mặt với các đối tác nước ngoài trên cơ sở cùng có lợi, giải quyết các xung đột và khủng hoảng một cách hòa bình, và cải thiện an ninh ...
ລັດເຊຍ ສະເໝີຕົ້ນສະເໝີປາຍຖືສະຫະປະຊາຊາດ ແມ່ນອົງການຈັດຕັ້ງຫຼັກແຫຼ່ງເພື່ອແກ້ໄຂການຂັດແຍ່ງລະຫວ່າງບັນດາປະເທດ, ສົມທົບກັນມີການກະທຳບົນຫຼັກການເຈລະຈາສະເໝີພາບ ແລະເຄົາລົບເຊິ່ງກັນ ແລະກັນ.	Nga luôn coi Liên hợp quốc là cơ quan chính giải quyết các tranh chấp giữa các quốc gia, cùng hoạt động trên nguyên tắc bình đẳng và tôn trọng lẫn nhau.
ພ້ອມກັນນັ້ນ, ພວກຂ້າພະເຈົ້າ ກໍ່ໄດ້ຕັ້ງໜ້າຊຸກຍູ້ການຮ່ວມມືຢູ່ບັນດາເວທີປາໄສສາກົນ, ເພີ່ມທະວີການຮ່ວມມືຕ້ານການກໍ່ການຮ້າຍດ້ວຍບົດບາດໃຈກາງຂອງສະຫະປະຊາຊາດ.	Đồng thời cam kết thúc đẩy hợp tác tại các diễn đàn quốc tế, tăng cường hợp tác chống khủng bố với vai trò trung tâm tại Liên hợp quốc.
ລັດເຊຍ ປົກປ້ອງບັນດາຫຼັກການຫຼາຍຝ່າຍເມື່ອແກ້ໄຂບັນດາໜ້າທີ່ຫຼັກແຫຼ່ງທົ່ວໂລກໃນຂອບເຂດ G20, BRICS ແລະ SCO.	Nga duy trì các nguyên tắc đa phương trong việc giải quyết các vấn đề chính trong G20, BRICS và SCO.
ພວກຂ້າພະເຈົ້າໄດ້ເອົາໃຈໃສ່ເປັນພິເສດຕໍ່ພາກພື້ນອາຊີ-ປາຊີຟິກ, ໃນນ້ັນລັດເຊຍ ແມ່ນພາກສ່ວນໜຶ່ງບໍ່ສາມາດຕັດແຍກອອກໄດ້.	Chúng tôi dành sự quan tâm đặc biệt đến khu vực châu Á - Thái Bình Dương, trong đó Nga là một bộ phận không thể tách rời.
ໃນຊຸມປີມໍ່ໆມານີ້, ລັດເຊຍ ໄດ້ປະສົບຜົນສຳເລັດໃນການເພີ່ມທະວີການຮ່ວມມືເປັນຫຼາຍຮູບຫຼາຍແບບກັບອາຊຽນ.	Trong những năm gần đây, Nga đã thành công trong việc tăng cường hợp tác nhiều mặt với ASEAN.
ພວກຂ້າພະເຈົ້າ ຮູ້ບຸນຄຸນຕໍ່ຫວຽດນາມ ທີ່ໄດ້ຕັ້ງໜ້າໜູນຊ່ວຍວິວັດທະນາການນີ້ ແລະຫວັງວ່າຈະສືບຕໍ່ສົມທົບກັນມີການກະທຳໃຫ້ສຳເລັດກັບຄູ່ຮ່ວມມືຫວຽດນາມ ດ້ວຍຖານະຕຳແໜ່ງແມ່ນປະທານອາຊຽນ 2020 ແລະກຳມະການບໍ່ປະຈຳການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ອາຍຸການ 2020-2021.	Chúng tôi cảm ơn Việt Nam đã hỗ trợ sự phát triển này và mong muốn tiếp tục hợp tác với các đối tác Việt Nam trong vai trò Chủ tịch ASEAN 2020 và Ủy ban Thường vụ Hội đồng Bảo an Liên hợp quốc nhiệm kỳ 2020-2021.
ທ່ານ S.V.Lavrov ລັດຖະມົນຕີການຕ່າງປະເທດລັດເຊຍ ແລະທ່ານ ຟ້າມບິ່ງມິງ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ.	Bộ trưởng Ngoại giao Liên bang Nga S.V. Lavrov và Phó Thủ tướng kiêm Bộ trưởng Bộ Ngoại giao Việt Nam Phạm Bình Minh.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ພັດທະນາການພົວພັນສອງຝ່າຍກັບຫວຽດນາມ ແມ່ນບຸລິມະສິດໄລຍະຍາວໃນນະໂຍບາຍພົວພັນຕ່າງປະເທດຂອງລັດເຊຍ.	Phát triển quan hệ song phương với Việt Nam là ưu tiên lâu dài trong chính sách đối ngoại của Nga.
ບົນພື້ນຖານຂອງນ້ຳໃຈມິດຕະພາບທີ່ໝັ້ນແກ່ນ ແລະຄວາມໄວ້ເນື້ອເຊື່ອໃຈເຊິ່ງກັນ ແລະກັນ, ການຮ່ວມມືລະຫວ່າງສອງປະເທດພວມພັດທະນາໃນຫຼາຍຂົງເຂດດ້ວຍຂອບຂະໜາດໃຫຍ່.	Dựa trên tinh thần hữu nghị sâu sắc và tin cậy lẫn nhau, hợp tác giữa hai nước đang phát triển trên nhiều lĩnh vực với quy mô lớn.
ນັ້ນແມ່ນການແລກປ່ຽນດ້ານການເມືອງ, ການຮ່ວມມືເສດຖະກິດ-ການຄ້າ, ການປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ, ວັດທະນະທຳ-ສຶກສາ.	Đó là các hoạt động giao lưu chính trị, hợp tác kinh tế-thương mại, quốc phòng-an ninh, văn hóa-giáo dục.
ປີ 2019 ໄດ້ດຳເນີນການຢ້ຽມຢາມລັດເຊຍ ຂອງທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ.	Năm 2019, Thủ tướng Chính phủ Nguyễn Xuân Phúc và Chủ tịch Quốc hội Nguyễn Thị Kim Ngân đã có chuyến thăm Nga.
ລັດຖະມົນຕີຂອງລັດເຊຍ ຫຼາຍທ່ານກໍ່ໄດ້ມາຢ້ຽມຢາມຫວຽດນາມ.	Nhiều bộ trưởng Nga cũng đã đến thăm Việt Nam.
ໃນຕົວຈິງແມ່ນມີການຢ້ຽມຢາມ ແລະການພົບປະຂັ້ນສູງລະຫວ່າງສອງປະເທດໃນແຕ່ລະປີ.	Trên thực tế, hàng năm đều có các chuyến thăm và gặp gỡ cấp cao giữa hai nước.
ໃນປີ 2020, ໂລກພວມປະເຊີນໜ້າກັບສິ່ງທ້າທາຍທີ່ບໍ່ເຄີຍມີມາກ່ອນນັ້ນແມ່ນພະຍາດໂຄວິດ-19.	Đến năm 2020, thế giới đang phải đối mặt với một thách thức chưa từng có: bệnh rau mùi-19.
ຫວຽດນາມ ໄດ້ຮັບມືເປັນຢ່າງດີ ແລະຄວບຄຸມສະພາບການໄດ້ຢ່າງວ່ອງໄວ, ບໍ່ປະໃຫ້ໂລກລະບາດແຜ່ລາມໄປໃນຂອບເຂດທົ່ວປະເທດ.	Việt Nam đã ứng phó tốt và kiểm soát nhanh tình hình, không để dịch lây lan trên cả nước.
ຫວຽດນາມ ກໍ່ໄດ້ສະແດງໃຫ້ເຫັນວ່າແມ່ນສະມາຊິກທີ່ມີຄວາມຮັບຜິດຊອບຕໍ່ກັບປະຊາຄົມສາກົນ, ປະຈຸບັນພວມດຳລົງຕຳແໜ່ງເປັນປະທານອາຊຽນ ແລະກຳມະການບໍ່ປະຈຳການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ໄດ້ເປັນຢ່າງດີ.	Việt Nam đã thể hiện mình là một thành viên có trách nhiệm của cộng đồng quốc tế, hiện đang là Chủ tịch ASEAN và Hội đồng Bảo an Liên hợp quốc.
ລັດເຊຍ ຕີລາຄາສູງຕໍ່ການຊ່ວຍເຫຼືອຢ່າງທັນການ, ການສະໜັບສະໜູນຂອງບັນດາເພື່ອນມິດຫວຽດນາມ ແລະພ້ອມແລ້ວທີ່ຈະແລກປ່ຽນບົດຮຽນໃນການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19.	Nga đánh giá cao sự giúp đỡ, hỗ trợ kịp thời của các bạn Việt Nam và sẵn sàng chia sẻ những bài học kinh nghiệm trong công tác phòng, chống dịch bệnh-19.
ໃນສະພາບໂລກລະບາດຜັນແປຢ່າງສັບສົນ, ສອງຝ່າຍໄດ້ດຳເນີນບັນດາການໂອ້ລົມທາງໂທລະສັບ ແລະຈັດຕັ້ງກອງປະຊຸມທາງໄກ, ຄື: ການພົບປະເຈລະຈາລະຫວ່າງທ່ານ M.V.Mishustin ນາຍົກລັດຖະມົນຕີສະຫະພັນລັດເຊຍ ແລະທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ, ລະຫວ່າງທ່ານ S.V.Lavrov ລັດຖະມົນຕີການຕ່າງປະເທດລັດເຊຍ ແລະທ່ານ ຟ້າມບິ່ງມິງ ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ.	Trong bối cảnh tình hình dịch bệnh diễn biến phức tạp, hai bên đã có cuộc điện đàm và hội đàm qua điện thoại giữa Thủ tướng Liên bang Nga M.V.Mishustin và người đồng cấp Việt Nam Nguyễn Xuân Phúc.
ໜຶ່ງໃນບັນດາຂົງເຂດສຳຄັນໃນການພົວພັນສອງຝ່າຍແມ່ນການຮ່ວມມືດ້ານເສດຖະກິດ-ການຄ້າ, ລວມມີທັງເຊື້ອເພີງ-ພະລັງງານ, ການຄ້າ, ກະສິກຳ, ເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ-ການສື່ສານ.	Một trong những lĩnh vực quan trọng của quan hệ song phương là hợp tác kinh tế-thương mại, bao gồm nhiên liệu-năng lượng, thương mại, nông nghiệp và công nghệ thông tin và truyền thông.
ຢູ່ລັດເຊຍ, ມີສິນຄ້າຫຼາຍປະເພດຂອງຫວຽດນາມ ມີຊື່ສຽງ, ໃນນັ້ນມີຜະລິດຕະພັນກະເສດ, ໂສ້ງເສື້ອ, ເກີບ.	Ở Nga, có nhiều mặt hàng Việt Nam nổi tiếng, trong đó có nông sản, áo sơ mi, giày dép.
ໃນຂະນະນັ້ນ, ລັດເຊຍ ໄດ້ເປີດກວ້າງບັນດາສິນຄ້າສົ່ງອອກມາຍັງຫວຽດນາມ, ຄື: ບັນດາຜະລິດຕະພັນທັນຍາຫານ, ຊີ້ນ, ປາ...	Trong khi đó, Nga đã mở rộng xuất khẩu sang Việt Nam, bao gồm ngũ cốc, thịt và cá.
ພວກຂ້າພະເຈົ້າ ກໍ່ໄດ້ເອົາໃຈໃສ່ທີ່ສຸດເຖິງການປັບປຸງບັນດາສາຍພົວພັນໃນຂົງເຂດວິທະຍາສາດ ແລະເຕັກໂນໂລຢີ, ການສຶກສາ ແລະວັດທະນະທຳລະຫວ່າງບັນດາທ້ອງຖິ່ນຂອງສອງປະເທດ.	Chúng tôi cũng hết sức coi trọng việc cải thiện quan hệ trên các lĩnh vực khoa học công nghệ, giáo dục, văn hóa giữa địa phương hai nước.
ອີກຄັ້ງໜຶ່ງ, ຂ້າພະເຈົ້າ ຢາກເນັ້ນໜັກວ່າລະຫວ່າງລັດເຊຍ ແລະຫວຽດນາມ ແມ່ນໄດ້ສ້າງຕັ້ງສາຍພົວພັນມິດຕະພາບ ແລະຄວາມໄວ້ເນື້ອເຊື່ອໃຈຢ່າງແທ້ຈິງ.	Một lần nữa, tôi muốn nhấn mạnh rằng giữa Nga và Việt Nam là sự thiết lập của tình hữu nghị và sự tin cậy thực sự.
ພວກເຮົາໄດ້ຄຽງບ່າຄຽງໄຫຼ່ຜ່ານຜ່າສິ່ງທ້າທາຍຂອງການເວລາ ແລະຄວາມຫຍຸ້ງຍາກນາໆປະການ.	Chúng ta đã cùng nhau sánh vai với những thử thách của thời gian và nghịch cảnh.
ມໍລະດົກອັນລ້ຳຄ່ານີ້ຕ້ອງໄດ້ອະນຸລັກຮັກສາ ແລະພັດທະນາ, ຕ້ອງໄດ້ສືບທອດໃຫ້ໄວໜຸ່ມສອງປະເທດ, ຄືຄຳສຸພາສິດຂອງຫວຽດນາມ ທີ່ວ່່າ “ກິນເຂົ້າຄິດຮອດຄຸນນາ, ກິນປາຄິດຮອດຄຸນນ້ຳ.	Di sản quý giá này phải được bảo tồn và phát triển và phải được truyền lại cho thế hệ trẻ hai nước, như tục ngữ Việt Nam: “Ăn cơm nghĩ đến giá, ăn cá nghĩ đến nước”.
ໂດຍ: ສົມເພັດ.	Bởi: Somphet.
