ກປ.ອອນໄລ - ນັບແຕ່ທ້າຍປີ 2015, ກອງພົນ 9 ປະຕິບັດການແຈກຢາຍບັດປະກັນສຸຂະພາບໃຫ້ແກ່ 100% ພົນທະຫານຂອງກົມກອງ.	KTĐT - Từ cuối năm 2015, Lữ đoàn 9 đã tổ chức phát thẻ BHYT cho 100% quân nhân của Cục.
ພວກຂ້າພະເຈົ້າ ສາມາດກວດ ແລະປິ່ນປົວພະຍາດ, ປະຖົມພະຍາບານຢູ່ຮາກຖານການແພດບ່ອນໃກ້ທີ່ສຸດໄດ້.	Chúng ta có thể chẩn đoán và điều trị bệnh, sơ cứu tại trung tâm y tế gần nhất.
ນາຍ ແລະພົນທະຫານຮັບຢາເມື່ອກວດ ແລະປິ່ນປົວພະຍາດນຳໃຊ້ປະກັນສຸຂະພາບຢູ່ສຸກສາລາກອງພົນ 9.	Cán bộ, chiến sĩ được cấp thuốc khi được chẩn đoán, điều trị các vấn đề về sức khỏe tại Trung tâm Y tế Lữ đoàn 9.
ພາບ: ຢຸຍຫຽນ-ຮຸ່ງຄວາ.	Ảnh: Duy Hiền - Hùng Khùa
ຕາມທ່ານພັນຕີ ຫງວຽນຕ່າຍຮົ່ງ, ຫົວໜ້າສຸກສາລາກອງພົນ 9 ແລ້ວ, ເລື່ອງກວດ ແລະປິ່ນປົວພະຍາດນຳໃຊ້ປະກັນສຸຂະພາບ ໄດ້ສ້າງອໍານວຍຄວາມສະດວກໃຫ້ແກ່ການຍົກສູງກໍາລັງຄວາມສາມາດດ້ານວິຊາສະເພາະ, ປັບປຸງ, ຍົກລະດັບອຸປະກອນການແພດ ແລະພື້ນຖານວັດຖຸຂອງສຸກສາລາ, ເພື່ອຮັບໃຊ້ທະຫານ ແລະປະຊາຊົນໃຫ້ດີກວ່າເກົ່າ.	Theo Trung tá Nguyễn Tây Hồng, Trưởng Trung tâm Y tế Lữ đoàn 9, việc KCB BHYT đã tạo điều kiện nâng cao năng lực chuyên môn, cải tạo, nâng cấp trang thiết bị KCB của Trung tâm Y tế nhằm phục vụ tốt hơn cho bộ đội và nhân dân. .
ລະດັບຄວາມຮູ້ຂອງຖັນແຖວແພດໝໍກໍ່ໄດ້ຮັບການຍົກສູງຈາກການບົ່ງມະຕິພະຍາດ, ປິ່ນປົວພະຍາດໃຫ້ຄົນເຈັບ, ຕະຫຼອດຮອດການຄຸ້ມຄອງ, ນໍາໃຊ້ແຫຼ່ງເງິນຂອງປະກັນສຸຂະພາບ.	Trình độ hiểu biết của đội ngũ cán bộ y tế được nâng cao trong công tác chẩn đoán, điều trị bệnh nhân, quản lý và sử dụng quỹ bảo hiểm y tế.
ປີ 2017, ສຸກສາລາກອງພົນໄດ້ກວດ ແລະປິ່ນປົວພະຍາດໃຫ້ແກ່ນາຍ ແລະພົນທະຫານເກືອບ 11.000 ເທື່ອຄົນດ້ວຍປະກັນສຸຂະພາບ, ສະເພາະ, ໄຕມາດທີ I-2018, ມີນາຍ ແລະພົນທະຫານເກືອບ 850 ເທື່ອຄົນກວດ ແລະປິ່ນປົວພະຍາດດ້ວຍປະກັນສຸຂະພາບ ແລະເຂົາເຈົ້າລ້ວນແຕ່ຕີລາຄາສູງວຽກງານກວດ ແລະປິ່ນປົວພະຍາດຕາມປະກັນສຸຂະພາບຂອງສຸກສາລາ.	Năm 2017, trung tâm y tế lữ đoàn đã khám, chữa bệnh BHYT cho gần 11.000 lượt cán bộ, chiến sĩ, cụ thể trong quý I / 2018 có gần 850 lượt cán bộ, chiến sĩ được khám, chữa bệnh BHYT.
ຍູ້ແຮງການໂຄສະນາ, ແກ້ໄຂຂໍ້ຕິດຂັດ	Kích thích quảng cáo, giải quyết tắc nghẽn
ນະໂຍບາຍປະກັນສຸຂະພາບສໍາລັບພົນທະຫານມີຫຼາຍຈຸດດີ, ແຕ່ວິວັດການປະຕິບັດຢູ່ບັນດາກົມກອງຂຶ້ນກັບກອງພົນ 9 ໃນໄລຍະຜ່ານມາຍັງມີບາງຂໍ້ຕິດຂັດຄື: ເລື່ອງແຈ້ງບັນຊີວັນ, ເດືອນ, ປີເກີດ, ຊື່ຂອງນາຍ ແລະພົນທະຫານຈໍານວນໜຶ່ງຍັງຫຼົງຢູ່;	Chính sách BHYT đối với bộ đội có nhiều thuận lợi, song sự phát triển của các đơn vị trực thuộc Lữ đoàn 9 trong thời gian qua vẫn còn một số vướng mắc: ngày, tháng, năm sinh, tên một số cán bộ, chiến sĩ còn thiếu;
ການຜັນຂະຫຍາຍປະກັນສຸຂະພາບສໍາລັບນັກຮົບຄົນໃໝ່ຍັງບໍ່ທັນການ;	Việc triển khai bảo hiểm y tế cho cựu chiến binh có nguyện vọng chưa được thực hiện;
ຄ່າໃຊ້ຈ່າຍສົ່ງເສີມສຸຂະພາບເບື້ອງຕົ້ນ (10%) ຍັງມີຄວາມຈໍາກັດກ່ຽວກັບບັນຊີລາຍຊື່ຊື້ເຄື່ອງຂອງ, ລົງທຶນຢູ່, ສະນັ້ນໄດ້ສົ່ງຜົນສະທ້ອນເຖິງຄວາມຮຽກຮ້ອງສົ່ງເສີມສຸຂະພາບເບື້ອງຕົ້ນໃຫ້ແກ່ທະຫານ.	Chi phí nâng cao sức khỏe ban đầu (10%) còn hạn chế trong danh mục mua sắm, đầu tư nên ảnh hưởng đến yêu cầu nâng cao sức khỏe ban đầu cho quân nhân.
