ກປ.ອອນໄລ - ທັດສະນະຂອງ Viettel ແມ່ນບໍ່ຈໍາແນກເກນອາຍຸ.	KR Online - Quan điểm của Viettel là không phân biệt tuổi tác.
ເມື່ອໄດ້ມອບສິດ, ມອບໜ້າທີ່ໃຫ້ບຸກຄະລາກອນນັ້ນສິ່ງທໍາອິດແມ່ນຜູ້ນໍາພາຕ້ອງສ້າງເງື່ອນໄຂໃຫ້ເຂົາເຈົ້າປະຕິບັດສິດຂອງຕົນ.	Khi giao quyền cho nhân sự, việc đầu tiên người lãnh đạo phải làm là tạo điều kiện để họ thực hiện các quyền của mình.
ຄົນໜຶ່ງໄດ້ຍົກຂຶ້ນເປັນຜູ້ບັນຊາຕ້ອງເປັນຄົນສາມາດອອກຄໍາຕັດສິນໄດ້.	Người được bổ nhiệm làm chỉ huy phải có khả năng ra quyết định.
Viettel ບໍ່ອະນຸຍາດໃຫ້ເລື່ອງຜູ້ບໍລິຫານກອງປະຊຸມສິ້ນສຸດກອງປະຊຸມພຽງແຕ່ວ່າ “ພວກຂ້າພະເຈົ້າຮັບຮູ້ຄໍາຄິດເຫັນຂອງບັນດາສະຫາຍ , “ພວກຂ້າພະເຈົ້າຈະພິຈາລະນາ ...	Viettel không cho phép người điều hành cuộc họp kết thúc cuộc họp chỉ nói rằng “Chúng tôi ghi nhận ý kiến của các đồng chí”, chúng tôi sẽ xem xét ...
ຜູ້ນໍາພາຕ້ອງສະຫຼຸບເພື່ອໃຫ້ພະນັກງານຮູ້ວ່າຕ້ອງເຮັດຫຍັງແດ່.	Người lãnh đạo cần tóm tắt để nhân viên biết mình phải làm gì.
ແຕ່ຢາກອອກຄໍາຕັດສິນເພື່ອໃຫ້ທຸກຄົນເຄົາລົບນັບຖືນັ້ນການນໍາຕ້ອງມີຄວາມຮູ້ຢ່າງພຽງພໍ.	Nhưng để đưa ra quyết định mà mọi người đều tôn trọng, người lãnh đạo phải có đủ kiến thức.
ສິ່ງສໍາຄັນທີ່ສຸດຂອງຜູ້ບັນຊາແມ່ນຮັກສາໃຫ້ບໍລິສັດຍາມໃດກໍ່ມີຄວາມໃຝ່ຝັນ, ບໍ່ວ່າຜູ້ໃດກໍ່ມີຈິດໃຈເລີ່ມທຸລະກິດ.	Điều quan trọng nhất đối với một nhà quản lý là giữ cho công ty có nhiều tham vọng nhất có thể, bất kể ai là người có động lực khởi nghiệp.
ວິທີ Viettel ເຮັດແມ່ນຍາມໃດກໍ່ສ້າງວຽກໃໝ່.	Cách Viettel làm là luôn xây dựng những công việc mới.
ວຽກນີ້ສໍາເລັດແລ້ວແຕ່ພວກເຮົາກໍ່ຊອກວຽກໃໝ່ໃນທັນທີ, ຢືນຢູ່ຈອມພູໜ່ວຍນີ້ເບິ່ງໄປຍັງຈອມພູໜ່ວຍອື່ນທີ່ສູງກວ່າເພື່ອເບິ່ງວ່າເມື່ອໃດຈຶ່ງສາມາດພິຊິດໄດ້ຈອມພູທີ່ສູງກວ່ານັ້ນ.	Công việc này đã xong, nhưng chúng tôi lập tức đi tìm việc, đứng hết đỉnh núi này lại nhìn sang đỉnh núi khác để xem khi nào có thể chinh phục được ngọn núi cao hơn.
ນັ້ນແມ່ນວິທີສ້າງກໍາລັງແຮງໃໝ່ໃຫ້ພະນັກງານ Viettel.	Đó là cách trao quyền cho nhân viên Viettel.
Viettel ແມ່ນບໍລິສັດບໍລິການສະນັ້ນ, ຍາມໃດກໍ່ຕ້ອງເອື້ອເຟື້ອເຜື່ອແຜ່, ລອບຄອບຖີ່ຖ້ວນ, ມີຄວາມເບີກບ່ານມ່ວນຊື່ນ, ໃຜໃຊ້ໂທລະສັບເຊິ່ງບໍ່ມີຄວາມພໍໃຈກໍ່ຍັງສາມາດຮ້າຍດ່າໃຫ້ພວກເຮົາໄດ້ຖ້າຫາກບໍລິການບໍ່ດີ.	Viettel là công ty dịch vụ nên hãy luôn hào phóng, thận trọng, vui vẻ, ai dùng điện thoại không hài lòng vẫn có thể chửi bới chúng tôi nếu dịch vụ không tốt.
ພາລະກໍາຂອງພວກເຮົາແມ່ນຄືແນວນັ້ນ ແລະພະນັກງານ Viettel ແຕ່ລະຄົນລ້ວນແຕ່ຈົດຈໍາຄືແນວນັ້ນ.	Sứ mệnh của chúng tôi là như vậy và mỗi CBNV Viettel đều ghi nhớ điều đó.
ແປໂດຍ: ຮວ່າງເຈື່ອງ.	Người dịch: Hoàng Trường.
