ກປ.ອອນໄລ - ພາຍຫຼັງກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 35 ແລະບັນດາກອງປະຊຸມທີ່ກ່ຽວຂ້ອງຢູ່ບາງກອກ, ປະເທດໄທ.	Hội nghị thượng đỉnh ASEAN lần thứ 5 và các cuộc họp liên quan đến Bangkok, Thái Lan.
ປະສົບການຂອງຄວາມສໍາເລັດກັບອາຊຽນ ນັ້ນໄດ້ສ້າງທ່ວງທ່າ ເພື່ອໃຫ້ຫວຽດນາມ ມີຄວາມໝັ້ນໃຈເປີດກວ້າງ, ຍົກລະດັບວິວັດການເຊື່ອມໂຍງເຂົ້າກັບສາກົນຂອງປະເທດຊາດດ້ວຍການເຂົ້າຮ່ວມເວທີປາໄສຮ່ວມມືເສດຖະກິດອາຊີ-ປາຊີຟິກ (APEC), ເວທີປາໄສຮ່ວມມືອາຊີ-ເອີຣົບ (ASEM)...	Kinh nghiệm thành công, ASEAN được tạo ra để Việt Nam mở cửa, bảo tồn quốc tế với sự lấp lánh đầu tư của châu Á-châu Âu (ASEC) ...
ສ່ວນຫວຽດນາມ ກໍ່ໄດ້ປະກອບສ່ວນເຂົ້າໃນຜົນງານຂອງອາຊຽນ ດ້ວຍມະໂນພາບພ້ອມກັນມານະພະຍາຍາມຢ່າງບໍ່ຢຸດຢັ້ງ ເພື່ອບັນດາເປົ້າໝາຍຂອງທັງປະຊາຄົມອາຊຽນ.	Việt Nam cũng đã góp phần vào công việc của ASEAN trong sự liên tiếp để cố gắng tạm thời cố gắng nhắm mục tiêu cả cộng đồng ASEAN.
ເມື່ອທຽບກັບປະເທດສະມາຊິກອາຊຽນ ອື່ນ, ຫວຽດນາມ ຍັງມີຊ່ອງຫວ່າງກ່ຽວກັບລະດັບການພັດທະນາ.	So với một thành viên khác ASEAN, Việt Nam có một mức độ phát triển.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ພວກເຮົາກໍ່ມີຄວາມເອກອ້າງທະນົງໃຈກ່ຽວກັບບັນດາການປະກອບສ່ວນນັບມື້ນັບສໍາຄັນຂອງຫວຽດນາມ ໃຫ້ແກ່ສະມາຄົມໃນຕະຫຼອດ 25 ປີຜ່ານມາ.	Tuy nhiên, chúng tôi có một khái niệm hợp pháp về hội đồng bổ sung của Việt Nam đối với hiệp hội trong 25 năm qua.
ພາຍຫຼັງບັນດາບາດກ້າວເບື້ອງຕົ້ນ, ຫວຽດນາມ ນັບມື້ນັບເຕີບໃຫຍ່ເຂັ້ມແຂງ ແລະສະແດງໃຫ້ເຫັນບົດບາດປະເທດສະມາຊິກສໍາຄັນໃນ ອາຊຽນ.	Sau bước đầu tiên, Việt Nam đang phát triển mạnh mẽ và thể hiện vai trò của các thành viên lớn trong ASEAN.
ເຖິງວ່າບໍ່ແມ່ນປະເທດສະມາຊິກສ້າງຕັ້ງກໍ່ຕາມ, ແຕ່ຫວຽດນາມ ໄດ້ເປັນເຈົ້າການໃນການເຂົ້າຮ່ວມ ແລະປະກອບສ່ວນຢ່າງຕັ້ງໜ້າເຂົ້າໃນບັນດາການເຄື່ອນໄຫວລວມຂອງອາຊຽນ.	Mặc dù không phải là một quốc gia thành viên được tạo ra, nhưng Việt Nam đã tham gia và dự kiến chuyển động ASEAN.
ຫວຽດນາມ ໄດ້ຕັ້ງໜ້າຊຸກຍູ້ ອາຊຽນ ຮັບເອົາປະເທດກໍາປູເຈຍ, ລາວ ແລະມຽນມາ ເປັນສະມາຊິກເພື່ອຮອດປີ 1999, ຄວາມໃຝ່ຝັນກ່ຽວກັບຄອບຄົວໃຫຍ່ອາຊຽນ ລວມມີ 10 ປະເທດອາຊີຕາເວັນອອກສ່ຽງໃຕ້ ໄດ້ປະກົດຜົນເປັນຈິງ.	Người Việt Nam được sơ tán Campuchia, Lào, Myanmar, gia đình Đông Nam Á và ASEAN, Đông Nam Á, Lào, ASEAN), ASEAN, gia đình ASEAN năm 1999
ກ່ອນອື່ນໝົດ, ຫວຽດນາມ ໄດ້ສະແດງບົດບາດຢ່າງມີຄວາມຕັ້ງໜ້າໃນການກໍານົດເປົ້າໝາຍ, ທິດທາງພັດທະນາ ແລະສ້າງບັນດານະໂຍບາຍຊີ້ຂາດໃຫຍ່ຂອງ ອາຊຽນ.	Đầu tiên, Việt Nam trưng bày vai trò trong mục tiêu, hướng, phát triển và tạo ra các chính sách thế chấp của ASEAN.
ຂີດໝາຍຫວຽດນາມ ໃນບັນດາເຫດການໃຫຍ່ຄືກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີ 6 ຢູ່ຮ່າໂນ້ຍ (ເດືອນທັນວາ 1998), ດໍາລົງຕຳແໜ່ງເປັນປະທານຄະນະກໍາມະການປະຈໍາການ ອາຊຽນ ອາຍຸການ 2000-2001 ເປັນຢ່າງດີ ແລະສໍາເລັດບົດບາດເປັນປະທານອາຊຽນປີ 2010 ເປັນຢ່າງດີດ້ວຍບັນດາໝາກຜົນອັນໃຫຍ່ຫຼວງ ແລະແທດຈິງ...	Nhãn hiệu của Việt Nam tại Hà Nội (tháng 12 năm 1998), chủ tịch của ASEAN 2000, và Ủy ban ASEAN 2012.
ກວ່າສອງທົດສະວັດທີ່ເຂົ້າຮ່ວມ ອາຊຽນ, ຫວຽດນາມ ໄດ້ຢືນຢັນຮູບພາບ ແລະອິດທິພົນຊື່ສຽງຂອງປະເທດສະມາຊິກທີ່ມີຄວາມເປັນເຈົ້າການ, ຕັ້ງໜ້າ ແລະເຕັມໄປດ້ວຍຄວາມຮັບຜິດຊອບ, ມີຄວາມຜູກພັນຢ່າງແໜ້ນແຟ້ນ ແລະມີຄວາມສຸດໃຈເພື່ອອາຊຽນ.	ASEAN, sự tham gia của Việt Nam, Việt Nam đã xác nhận hình ảnh và ảnh hưởng, với rất nhiều.
ນັ້ນແມ່ນພື້ນຖານເພື່ອໃຫ້ຫວຽດນາມ ມີຄວາມໝັ້ນໃຈດໍາລົງຕໍາແໜ່ງເປັນປະທານອາຊຽນ ປີ 2020, ປະກອບສ່ວນສ້າງອາຊຽນ ໃຫ້ມີການຮ່ວມສໍາພັນຢ່າງແໜ້ນແຟ້ນກວ່ານີ້ຕື່ມອີກ, ມີຄວາມສາມັກຄີເປັນເອກະພາບ ແລະຮັກສາບົດບາດເປັນໃຈກາງຢູ່ພາກພື້ນ, ປະຊາຄົມອາຊຽນ ໝັ້ນຄົງເຂັ້ມແຂງ, ວັດທະນາຖາວອນ ແລະເພື່ອປະຊາຊົນ.	Đó là cơ bản cho Việt Nam, một thành viên của Chủ tịch ASEAN, sự đồng nhất, cộng đồng ASEAN đứng vững, vĩnh viễn, và với mọi người.
ນີ້ກໍ່ແມ່ນກາລະໂອກາດເພື່ອໃຫ້ພວກເຮົາຕັ້ງໜ້າຊຸກຍູ້ສາຍພົວພັນສອງຝ່າຍກັບບັນດາປະເທດອາຊຽນ ແລະບັນດາປະເທດຄູ່ຮ່ວມມື, ຍົກສູງຖານະບົດບາດສາກົນຂອງປະເທດກວ່າອີກ ແລະໂຄສະນາເຜີຍແຜ່ຮູບພາບ, ສີສັນວັດທະນະທໍາ, ປະເທດຊາດ, ຊາວຫວຽດນາມ ເຖິງເພື່ອນມິດໃນໂລກ.	Đây cũng là cơ hội để chúng tôi thúc đẩy các mối quan hệ song phương với các quốc gia và hình ảnh ASEAN, văn hóa, tiếng Việt và các nước Việt Nam đến thế giới.
ໂດຍ: ທະນາພອນ.	Đăng bởi: vườn ươm.
