ກປ.ອອນໄລ - ປີ APEC 2017 ໄດ້ດໍາເນີນໄປດ້ວຍຜົນສໍາເລັດຢ່າງຈົບງາມ.	APEC 2017 - Năm 2017 đã thành công vang dội.
ພາບ: ອຽນບາ	Ảnh: Yên Ba
ຈຸດພິເສດໜຶ່ງທີ່ເຮັດໃຫ້ຕາຕະລາງເຮັດວຽກຂອງທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ໃນຊຸມວັນສຸດຍອດ APEC ເພີ່ມຂຶ້ນຫຼາຍເທົ່າ, ນັ້ນແມ່ນເລື່ອງຄຽງຄູ່ກັບບັນດາການເຄື່ອນໄຫວຢ່າງເປັນທາງການໃນສັບປະດາຂັ້ນສູງ APEC, ຕາຕະລາງແມ່ນເຕັມຢູ່ແລ້ວ, ຍັງມີຕື່ມອີກ 4 ການພົບປະສອງຝ່າຍຂອງບັນດາການນໍາຕ່າງປະເທດເນື່ອງໃນໂອກາດນີ້.	Một trong những điểm nổi bật trong lịch trình làm việc của Chủ tịch nước Trần Đại Quang tại Hội nghị Cấp cao APEC là, cùng với các hoạt động chính thức của Hội nghị Cấp cao APEC đã kín lịch, sẽ có thêm 4 cuộc gặp song phương sẽ được tổ chức trong dịp này.
ເລີ່ມແຕ່ 16 ໂມງ ວັນທີ 9 ພະຈິກ ເຖິງຕອນທ່ຽງວັນທີ 10 ພະຈິກ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ຕ້ອງເຂົ້າຮ່ວມ “ວິວັດການ marathon ບັນດາການພົບປະສອງຝ່າຍຄືພົບປະກັບທ່ານປະທານາທິບໍດີ ຟິລິບປິນ Rodrigo Duterte, ທ່ານປະທານທະນາຄານລົງທຶນພື້ນຖານໂຄງລ່າງ ອາຊີ (AIIB) Jin Li Qun ...	Từ 16h ngày 9/11 đến trưa ngày 10/11, Chủ tịch nước Trần Đại Quang sẽ tham dự "Cuộc gặp" Marathon Evolution với Tổng thống Philippines Rodrigo Duterte, Chủ tịch Ngân hàng Đầu tư Cơ sở Hạ tầng Châu Á (AIIB) Jin Li Qun ...
ວັນສຸດຍອດທໍາອິດ	Ngày cao điểm đầu tiên
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ຖ່າຍຮູບລວມກັບບັນດານັກອຸປະຖໍາ ຢູ່ກອງປະຊຸມສຸດຍອດ APEC 2017.	Chủ tịch nước Trần Đại Quang chụp ảnh lưu niệm với các nhà tài trợ tại Hội nghị Cấp cao APEC 2017.
ພາບ: ອຽນບາ	Ảnh: Yên Ba
ຕອນບ່າຍວັນທີ 10 ພະຈິກ, ວັນທາງການທໍາອິດໃນສອງວັນກອງປະຊຸມ ສຸດຍອດບັນດາການນໍາເສດຖະກິດ APEC, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ເຂົ້າຮ່ວມວາລະປະຊຸມຄົບຄະນະເຈລະຈາລະຫວ່າງບັນດາການນໍາເສດຖະກິດ APEC ກັບສະພາທີ່ປຶກສາດໍາເນີນທຸລະກິດ APEC (ABAC) ຢູ່ໂຮງແຮມ Furama.	Chiều 10/11, ngày chính thức đầu tiên của Hội nghị cấp cao các nhà lãnh đạo kinh tế APEC kéo dài hai ngày, Chủ tịch nước Trần Đại Quang đã tham dự Hội nghị các nhà lãnh đạo doanh nghiệp APEC (ABAC) tại khách sạn Furama.
ຕອນແລງວັນທີ 10 ພະຈິກ, ຢູ່ຫໍປະຊຸມສາກົນໂຮງແຮມ Furama, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ໄດ້ເຂົ້າຮ່ວມການເຈລະຈາຂັ້ນສູງບໍ່ເປັນທາງການລະຫວ່າງ APEC ກັບ ASEAN, ແມ່ນຂໍ້ລິເລີ່ມຂອງຫວຽດນາມ ຢູ່ສັບປະດາຂັ້ນສູງ APEC ຄັ້ງນີ້.	Chiều 10/11, tại Trung tâm Hội nghị Quốc tế Khách sạn Furama, Chủ tịch nước Trần Đại Quang đã tham dự Hội đàm cấp cao không chính thức giữa APEC và ASEAN, một sáng kiến của Việt Nam tại Hội nghị Cấp cao APEC tuần này.
ຕອນຄໍ່າວັນທີ 10 ພະຈິກ, ກ່ອນທີ່ຈະເຂົ້າຮ່ວມລາຍການ Gala Dinner, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ຍັງພົບປະສອງຝ່າຍກັບທ່ານປະທານາທິບໍດີລັດເຊຍ Vladimir Putin ແລະທ່ານນາຍົກລັດຖະມົນຕີສິງກະໂປ ຫຼີສຽນຫຼົງ.	Chiều tối 10/11, trước khi tham dự Dạ tiệc, Chủ tịch nước Trần Đại Quang cũng đã hội kiến với Tổng thống Liên bang Nga Vladimir Putin và Thủ tướng Singapore Lý Hiển Long.
ຫຼັງຈາກນັ້ນ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ແລະພັນລະຍາກໍ່ໄດ້ເຂົ້າຮ່ວມລາຍການ Gala Dinner - ງານລ້ຽງລະດັບຊາດ ເພື່ອຕ້ອນຮັບການນໍາບັນດາພື້ນຖານເສດຖະກິດ APEC ແລະສາມປະເທດແຂກຖືກເຊີນ ລາວ, ກໍາປູເຈຍ, ມຽນມາ.	Sau đó, Chủ tịch nước Trần Đại Quang và Phu nhân dự Dạ tiệc - Quốc tiệc do các nhà Lãnh đạo Kinh tế APEC chủ trì cùng 3 vị khách mời: Lào, Campuchia và Myanmar.
ເນື້ອໃນຈິດໃຈ APEC ຢູ່ໂຮງແຮມ InterContinental	Tinh thần APEC tại khách sạn InterContinental
ວັນທີ 11 ພະຈິກ, ວັນດໍາເນີນບັນດາວາລະປະຊຸມສຸດຍອດຂອງ APEC 2017 ຢ່າງເປັນທາງການ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ໄດ້ມາຮອດແຕ່ 5 ໂມງເຊົ້າ!	Ngày 11/11, ngày chính thức khởi động Hội nghị Cấp cao APEC 2017, Chủ tịch nước Trần Đại Quang đã đến lúc 5h00 sáng!
ຍ້ອນວ່າເວລາ 7 ໂມງ, ທ່ານປະທານປະເທດ ເລີ່ມຕົ້ນມີບັນດາການພົບປະກັບທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດແຫ່ງ ສປປ ລາວ ບຸນຍັງ ວໍລະຈິດ;	Đúng 7 giờ, Chủ tịch nước CHDCND Lào bắt đầu hội kiến với Tổng Thư ký, Chủ tịch nước CHDCND Lào Bounyang Vorachit;
ທ່ານນາຍົກລັດຖະມົນຕີກໍາປູເຈຍ Hun Sen ຢູ່ໂຮງແຮມ Premier Villa, ຫຼັງຈາກນັ້ນພົບປະກັບທ່ານປະທານາທິບໍດີ ສ.ເກົາຫຼີ Moon Jae-in ຢູ່ສູນກອງປະຊຸມດ່ານັ້ງ.	Thủ tướng Campuchia Hun Sen hội kiến tại khách sạn Premier Villa, sau đó hội kiến với Tổng thống Hàn Quốc Moon Jae-in tại Trung tâm Hội nghị Đà Nẵng.
ເວລາ 9 ໂມງເຊົ້າ ວັນທີ 11 ພະຈິກ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ພ້ອມກັບບັນດາຫົວໜ້າຄະນະເຂົ້າຮ່ວມວາລະປະຊຸມລັບຄັ້ງທີໜຶ່ງໃນຫ້ອງຮ່າໂນ້ຍຢູ່ໂຮງແຮມ.	Vào lúc 9h ngày 11/11, Chủ tịch nước Trần Đại Quang và các đồng chí lãnh đạo Đoàn dự cuộc họp kín đầu tiên tại Phòng khách sạn Hà Nội.
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ໄດ້ເປັນປະທານວາລະປະຊຸມດ້ວຍແບບແຜນທີ່ມີໄຫວພິບ, ໝັ້ນໃຈຕົນເອງ, ສະຫງຽມຄ່ຽມຕົວຂອງຜູ້ເປັນເຈົ້າພາບ.	Chủ tịch nước Trần Đại Quang chủ trì cuộc gặp với người chủ trì thông minh, tự chủ và khiêm tốn.
ໃນວາລະປະຊຸມລັບຄັ້ງທີສອງໄດ້ດໍາເນີນໃນຕອນບ່າຍວັນທີ 11 ພະຈິກ.	Cuộc họp bí mật thứ hai được tổ chức vào chiều ngày 11/11.
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ແລະບັນດາຫົວໜ້າຄະນະເຂົ້າຮ່ວມກອງປະຊຸມບັນດາການນໍາເສດຖະກິດ APEC ຄັ້ງທີ 25.	Chủ tịch nước Trần Đại Quang và các nhà lãnh đạo khác tham dự Hội nghị lần thứ 25 các nhà lãnh đạo kinh tế APEC.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ໃນໂມງພັກຜ່ອນຕອນທ່ຽງພາຍຫຼັງວາລະປະຊຸມລັບຄັ້ງທີໜຶ່ງ.	Vào buổi trưa sau cuộc họp bí mật đầu tiên.
ບັນດາຫົວໜ້າຄະນະໄດ້ອອກຈາກຫ້ອງປະຊຸມຮ່າໂນ້ຍໄປຖ່າຍຮູບ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ຢືນຢູ່ກຸ່ມແຖວໜ້້າ, ລວມມີການນໍາບັນດາປະເທດມະຫາອຳນາດ, ຄື: ທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດຈີນ ສີຈິ້ນຜິງ;	Các đồng chí lãnh đạo đoàn rời Hội trường Hà Nội chụp ảnh chung.
ທ່ານປະທານາທິບໍດີ ອາເມລິກາ Donald Trump;	Tổng thống Hoa Kỳ Donald Trump;
ທ່ານປະທານາທິບໍດີ ລັດເຊຍ Vladimir Putin;	Tổng thống Nga Putin;
ທາງເປັນຄ້ອຍ, ໄປໄດ້ໄລຍະໜຶ່ງ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ແລະທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດຈີນ ສີຈິ້ນຜິງ ໄດ້ຍ່າງກາຍແຖວໜ້າ, ທ່ານປະທານາທິບໍດີ ອາເມລິກາ Donald Trump;	Từ xa, Chủ tịch nước Trần Đại Quang và Tổng Thư ký nước Cộng hòa Nhân dân Trung Hoa Tập Cận Bình đi ngang Tổng thống Hoa Kỳ Donald Trump;
ທ່ານປະທານາທິບໍດີ ລັດເຊຍ Vladimir Putin ຢູ່ທາງຫຼັງ.	Tổng thống Nga Vladimir Putin ở phía sau.
ດ້ວຍຄວາມໝັ້ນໃຈຕົນເອງ, ທຸ່ນທ່ຽງຂອງຜູ້ເປັນເຈົ້າພາບທ່ານປະທານປະເທດ ໄດ້ຫັນໜ້າໄປເວົ້າກັບປະມຸກລັດສອງທ່ານຂອງສອງປະເທດມະຫາອໍານາດໃນໂລກວ່າ: “ໄປ !	Với sự tự tin, người chủ trì, Tổng thống đã hướng về hai nguyên thủ quốc gia của hai cường quốc thế giới: "Đi! Đi!"
ພວກເຮົາຕ້ອງໄວຈຶ່ງທັນການ!	Chúng ta phải đến đúng giờ!
ທຸກຄົນພ້ອມກັນຫົວຍິ້ມ.	Mọi người cùng nhau cười.
ຄ້າຍຄືວ່າທຸກຄົນລ້ວນແຕ່ເຂົ້າໃຈຄໍາເວົ້າຂອງ ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ບໍ່ພຽງແຕ່ຖືກກັບບົດບາດໃນຂະນະນັ້ນເທົ່ານັ້ນ ຫາກຍັງສ່ອງແສງເຖິງເນື້ອໃນຈິດໃຈຂອງ APEC ຕໍ່ໜ້າບັນດາການຜັນແປຂອງສະພາບການ: ຕ້ອງຍູ້ໄວລະດັບຄວາມໄວການຮ່ວມສຳພັນ, ເຊື່ອມໂຍງໃນໂລກຫຼາຍຊັ້ນດ້ວຍການຜັນແປຫຼາຍຢ່າງ, ເກີດສິ່ງທ້າທາຍບໍ່ແມ່ນໜ້ອຍແຕ່ກໍ່ມີໂອກາດພັດທະນາຫຼາຍຢ່າງ...	Dường như ai cũng hiểu câu nói của Chủ tịch nước Trần Đại Quang không chỉ phù hợp với vai trò hiện tại, mà còn làm sáng tỏ tinh thần của APEC trước bối cảnh tình hình đang có nhiều thay đổi: chúng ta phải đẩy nhanh tốc độ hợp tác, hội nhập trong nhiều thế giới với nhiều thay đổi, nhiều thách thức ...
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
