ກປ.ອອນໄລ - ທິດຕາເວັນຕົກພາກໃຕ້ໄດ້ຮັບຂະໜານນາມວ່າແມ່ນດິນແດນແຫ່ງແມ່ນໍ້າລໍາເຊ.	KPR Online - Miền Tây Nam Bộ được mệnh danh là Vùng đất của sông Lam Xe.
ຖ້າວ່າຕະຫຼາດນໍ້າ ກ໋າຍຣັງ ເປີດບໍລິການຮັບໃຊ້ແຕ່ຍາມຮຸ່ງເຊົ້າມາຮອດຕອນທ່ຽງນັ້ນ, ຕະຫຼາດນໍ້າ ກ໋າຍແບ່ ພັດເປີດບໍລິການນັບແຕ່ຍາມກາງຄືນເຖິງຍາມຮຸ່ງເຊົ້າ.	Nếu chợ Nam Kai Rang mở cửa từ rạng sáng đến trưa thì Nam Kai Bae Phat mở cửa từ đêm đến rạng sáng.
ພາບປະກອບຈາກ nhandan.com.vn	Minh họa bởi nhandan.com.vn
ຕະຫຼາດນໍ້າ ຟຸ້ງຮຽບ ໄດ້ຮັບການສ້າງຕັ້ງນັບແຕ່ປີ 1915 ແລະໄດ້ກາຍເປັນສູນຕິດຕໍ່ຄົມມະນາຄົມທາງນໍ້າໃຫຍ່ທີ່ສຸດຢູ່ພາກໃຕ້, ຕະຫຼາດນີ້ມີຜົນສະທ້ອນຢ່າງແຮງເຖິງຕະຫຼາດຜະລິດຕະພັນກະເສດພາກຕາເວັນຕົກ.	Chợ nước Fung Hiệp được thành lập từ năm 1915 và đã trở thành đầu mối giao thông đường thủy lớn nhất miền Nam, tác động mạnh mẽ đến thị trường nông sản miền Tây.
ດ້ວຍລະບົບຕະຫຼາດນໍ້ານັບຮ້ອຍແຫ່ງທີ່ພວມເຄື່ອນໄຫວຢູ່ເຂດທົ່ງພຽງແມ່ນໍ້າຂອງ, ຕະຫຼາດນໍ້າ ຟຸ້ງຮຽບ ແມ່ນຕະຫຼາດນໍ້າທີ່ເປັນເອກະລັກສະເພາະ ແລະໃຫຍ່ທີ່ສຸດ.	Với hàng trăm chợ nổi ở đồng bằng sông Cửu Long, Fung Hiep là chợ nước lớn nhất và độc đáo nhất.
ຕະຫຼາດນໍ້າ ຫງ້າໄບ໊ ແມ່ນຕະຫຼາດສັງລວມ, ອາດສາມາດຂາຍຍົກ ແລະຂາຍຍ່ອຍ;	Chợ Nam Bài là chợ tập thể, có thể bán buôn, bán lẻ;
ສິນຄ້າທີ່ອຸດົມສົມບຸນດ້ວຍຫຼາຍປະເພດ ແລະມີສີສັນສະເພາະຂອງເຂດພາກໃຕ້.	Sản phẩm phong phú về chủng loại, có màu sắc đặc trưng của miền nam.
ພາບປະກອບຈາກ nhandan.com.vn	Minh họa bởi nhandan.com.vn
ນັບແຕ່ວັນທີ 20 ເດືອນ 12 ໄລ່ຕາມຈັນທະປະຕິທິນເປັນຕົ້ນໄປ, ບັນດາຕະຫຼາດນໍ້າທີ່ຄຶກໂຄມໜາແໜ້ນກວ່າທຽບໃສ່ວັນທໍາມະດາ.	Từ ngày 20/12 âm lịch trở đi, các chợ nước nhộn nhịp hơn thường lệ.
ຍ້ອນໃກ້ຈະຮອດບຸນປີໃໝ່ປະຈຳຊາດ, ຖ້າວ່າໃນວັນທໍາມະດາພຽງແຕ່ມີບັນດາຜະລິດຕະພັນກະເສດ ຄື: ຜັກ, ຫົວມັນ, ໝາກໄມ້, ແຕ່ໃນຊຸມວັນໃກ້ຈະຮອດບຸນເຕັດ, ຕະຫຼາດປຽບເໝືອນສວນດອກໄມ້ເທິງໜ້ານໍ້າ.	Do cận Tết, nếu ngày thường chỉ có các mặt hàng nông sản như rau, sắn, cây ăn quả thì đến đêm giao thừa, chợ như một vườn hoa trên mặt nước.
ເມື່ອສັງເກດຈາກມຸມສູງລົງມາກໍ່ເຫັນວ່າ, ຕະຫຼາດນນໍ້າສວນອຸທິຍານດ້ວຍສີສັນຫຼາກຫຼາຍຄື: ສີແດງ, ສີອິດ, ສີເຫຼືອງ...	Khi nhìn từ góc cao hơn, có thể thấy Chợ Nước Vườn đa dạng về màu sắc: đỏ, tím, vàng ...
ບັນດານາງສາວພາກຕາເວັນຕົກ ຂົນສົ່ງດອກໄມ້ທີ່ເຕັມໄປດ້ວຍດອກໄມ້ເຕັມເຮືອລ່ອງຕາມຄອງເໝືອງມາຈາກເຕົ້າໂຮມຢູ່ຕະຫຼາດນໍ້າ, ບໍ່ພຽງແຕ່ຈ່າວຂາຍດອກໄມ້ສວຍງາມເທົ່ານັ້ນ, ຫາກຮອຍຍິ້ມຂອງເຂົາເຈົ້າກໍ່ສ້າງເປັນຄວາມສະໜິດສະໜົມໃຫ້ແກ່ນັກທ່ອງທ່ຽວອີກດ້ວຍ.	Những cô gái miền Tây gánh đầy hoa dọc bờ kênh từ buổi tụ tập ở chợ nước không chỉ bán những bó hoa đẹp mà nụ cười của họ còn tạo cảm giác hài hước cho du khách.
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
