ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 2 ຕຸລາ, ຄະນະບໍລິຫານງານສູນກາງພັກປະຊາຊົນປະຕິວັດລາວ;	Chiều 2/10, Ban Chấp hành Trung ương Đảng Nhân dân Cách mạng Lào;
ທ່ານ ໂດ໋ເມື່ອຍ ໄດ້ມີບັນດາການປະກອບສ່ວນອັນໃຫຍ່ຫຼວງເຂົ້າໃນການພັດທະນາ ແລະເພີ່ມພູນຄູນສ້າງສາຍພົວພັນມິດຕະພາບທີ່ຍິ່ງໃຫຍ່, ຄວາມສາມັກຄີແບບພິເສດ ແລະການຮ່ວມມືຮອບດ້ານລະຫວ່າງສອງພັກ, ສອງລັດ ແລະປະຊາຊົນສອງປະເທດຫວຽດນາມ-ລາວ ໃນຕະຫຼອດໄລຍະຜ່ານມາ.	Đồng chí Đỗ Mười đã có nhiều đóng góp vào sự phát triển và làm giàu đẹp hơn mối quan hệ hữu nghị vĩ đại, đoàn kết đặc biệt và hợp tác toàn diện giữa hai Đảng, hai Nhà nước và nhân dân hai nước Việt Nam - Lào trong những năm qua.
ການຈາກໄປຂອງທ່ານ ໂດ໋ເມື່ອຍ, ບໍ່ພຽງແຕ່ແມ່ນການສູນເສຍອັນໃຫຍ່ຫຼວງຂອງພັກ, ລັດ ແລະປະຊາຊົນຫວຽດນາມ ອ້າຍນ້ອງເທົ່ານັ້ນ, ຫາກຍັງແມ່ນການສູນເສຍເພື່ອນມິດຄົນໜຶ່ງທີ່ໃກ້ຊິດສະໜິດສະໜົມກັບພັກ, ລັດ ແລະປະຊາຊົນລາວ ຂອງພວກຂ້າພະເຈົ້າອີກດ້ວຍ.	Sự ra đi của Đỗ Muay không chỉ là mất mát to lớn đối với Đảng, Nhà nước và nhân dân Việt Nam anh em, mà còn là sự mất mát của một người bạn thân thiết của Đảng, Nhà nước ta và nhân dân Lào anh em.
ໃນເວລານາທີທີ່ໂສກເສົ້າເສຍດາຍນີ້, ຄະນະບໍລິຫານງານສູນກາງພັກປະຊາຊົນປະຕິວັດລາວ;	Trong giờ phút đau buồn này, Ban Chấp hành Trung ương Đảng Nhân dân Cách mạng Lào;
ສະພາແຫ່ງຊາດ;	Quốc hội;
ລັດຖະບານ ສປປ ລາວ ແລະຄະນະກຳມະການສູນກາງແນວລາວສ້າງຊາດ ຂໍສົ່ງຄໍາແບ່ງເບົາຄວາມທຸກໂສກຢ່າງສຸດຊຶ້ງມາຍັງຄະນະບໍລິຫານງານສູນກາງພັກກອມມູນິດຫວຽດນາມ;	Chính phủ nước CHDCND Lào và Ủy ban Trung ương Mặt trận Lào xây dựng Tổ quốc xin gửi lời chia buồn sâu sắc nhất tới Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam;
ສະພາແຫ່ງຊາດ;	Quốc hội;
ລັດຖະບານ ສສ ຫວຽດນາມ;	Chính phủ nước Cộng hòa xã hội chủ nghĩa Việt Nam;
ຄະນະກຳມະການສູນກາງແນວໂຮມປະເທດຊາດຫວຽດນາມ;	Ủy ban Trung ương Mặt trận Dân tộc Thống nhất Việt Nam;
ພ້ອມກັບປະຊາຊົນຫວຽດນາມ ອ້າຍນ້ອງ;	Cùng với đồng bào Việt Nam;
ກໍ່ຄືຄອບຄົວ, ຍາດຕິພີ່ນ້ອງຂອງທ່ານ ໂດ໋ເມື່ອຍ.	Cũng như gia đình bạn, người thân của bạn đang kiệt quệ.
ໂດຍ: ຫງວຽນກຸກ.	By: Nguyen Kuk
