ຖານະບົດບາດຂອງພັກກໍ່ຍ້ອນສິ່ງດັ່ງກ່າວນັ້ນຈຶ່ງໄດ້ຮັບການຍົກສູງຂຶ້ນຢ່າງບໍ່ຢຸດຢັ້ງ.	Nhờ đó, tư cách của Đảng ngày càng được nâng lên.
ເນື່ອງໃນໂອກາດລະດູບານໃໝ່ປີຊວດ 2020, ຕາງໜ້າການນຳພັກ ແລະລັດຫວຽດນາມ, ຂ້າພະເຈົ້າຂໍສົ່ງຄຳຂອບອົກຂອບໃຈເຖິງພົນລະເມືອງຫວຽດນາມ ທຸກໆຄົນ, ຂໍສົ່ງຄຳອວຍພອນປີໃໝ່ເຖິງທຸກຄອບຄົວຫວຽດນາມ ທີ່ພວມດຳລົງຊີວິດຢູ່ທຸກແຖບຖິ່ນຂອງປະເທດຊາດ ແລະໃນໂລກຈົ່ງຢູ່ດີມີແຮງ, ມີຄວາມຢູ່ເຢັນເປັນສຸກ ແລະວັດທະນາຖາວອນ.	Nhân dịp Lễ hội mùa xuân 2020, thay mặt Đảng và Nhà nước Việt Nam, tôi xin chân thành cảm ơn toàn thể nhân dân Việt Nam, kính chúc các gia đình Việt Nam sinh sống trên mọi miền đất nước và thế giới dồi dào sức khỏe, thịnh vượng. .
ກໍ່ເນື່ອງໃນໂອກາດນີ້, ຂ້າພະເຈົ້າ ຂໍສົ່ງຄຳອວຍພອນປິໃໝ່ເຖິງພະນັກງານ, ນັກຮົບກອງທັບປະຊາຊົນຫວຽດນາມ-ບັນດາທະຫານປະຕິວັດໃນຖັນແຖວຂອງກອງທັບທຸກຖ້ວນໜ້າດ້ວຍໄລຍະທາງແຫ່ງການກໍ່ສ້າງ, ສູ້ຮົບ, ເຕີບໃຫຍ່ຂະຫຍາຍຕົວກວ່າ 75 ປີ-ກອງທັບປະຕິວັດ, ວິລະຊົນ “ຮົບຮ້ອຍຄັ້ງກໍ່ຊະນະຮ້ອຍຄັ້ງ ເຊິ່ງໄດ້ຮັບຄວາມເຊື່ອໝັ້ນ ແລະຮັກແພງຈາກພັກ, ລັດ ແລະປະຊາຊົນ!	Nhân dịp này, tôi xin gửi lời chúc tốt đẹp nhất đến các cán bộ, chiến sĩ Quân đội nhân dân Việt Nam - Những chiến sĩ cách mạng trong các quân chủng với chặng đường xây dựng, chiến đấu, trưởng thành hơn 75 năm - Quân đội cách mạng, anh hùng.
ທ່ານ ຫງວຽນຝູຈ້ອງ, ເລຂາທິການໃຫຍ່, ປະທານປະເທດ, ເລຂາຄະນະພັກການທະຫານສູນກາງພົບປະກັບບັນດາຕົວແບບດີເດັ່ນທົ່ວປະເທດໃນການກໍ່ສ້າງພື້ນຖານທົ່ວປວງຊົນປ້ອງກັນຊາດຢ່າງໝັ້ນຄົງເຂັ້ມແຂງໄລຍະ 2009-2019.	Nguyễn Phú Trọng, Tổng Bí thư, Chủ tịch nước, Bí thư Quân ủy Trung ương gặp mặt những gương điển hình tiên tiến trong xây dựng nền quốc phòng toàn dân vững chắc giai đoạn 2009-2019.
ພາບ: ຫງວຽນຕ໊ວນຮຸຍ.	Ảnh: Nguyễn Tuấn Huy
ນັກຂ່າວ: ປີ 2020 ແມ່ນປີສຳຄັນທີ່ສຸດ-ປີມ້ວນທ້າຍແຫ່ງການປະຕິບັດມະຕິກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XII ຂອງພັກ.	Nhà báo: Năm 2020 là năm quan trọng nhất - năm cuối thực hiện các nghị quyết Đại hội XII của Đảng.
ທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດ, ເລຂາຄະນະພັກການທະຫານສູນກາງ ໄດ້ສົ່ງສານໃດແດ່ເຖິງພະນັກງານ, ສະມາຊິກພັກ ແລະປະຊາຊົນ?	Tổng Bí thư, Chủ tịch nước, Bí thư Quân ủy Trung ương gửi thông điệp gì tới cán bộ, đảng viên và nhân dân?
ທ່ານ ຫງວຽນຝູຈ້ອງ, ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ: ກ້າວເຂົ້າສູ່ປີໃໝ່, ໜ້າທີ່ທຳອິດຂອງທົ່ວພັກ ແລະຄະນະພັກ, ອົງການຈັດຕັ້ງພັກທຸກຂັ້ນ ຕ້ອງຕັ້ງໜ້າ, ຮີບເຮັ່ງກະກຽມ ແລະຈັດຕັ້ງກອງປະຊຸມໃຫຍ່ອົງຄະນະພັກຂັ້ນຕ່າງໆ ເພື່ອກ້າວໄປເຖິງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກໃຫ້ປະສົບຜົນສຳເລັດ.	Nguyễn Phú Trọng, Tổng Bí thư, Chủ tịch Đảng Cộng sản Việt Nam (ĐCSVN)
ນີ້ແມ່ນໜ້າທີ່ສຳຄັນທີ່ສຸດ, ກໍ່ແມ່ນຄວາມຮັບຜິດຊອບຂອງທັງລະບົບການເມືອງ ແລະທົ່ວປວງຊົນ;	Đây là thách thức quan trọng hàng đầu, là trách nhiệm của cả hệ thống chính trị và toàn thể nhân dân;
ນັບແຕ່ການກະກຽມເອກະສານ, ບຸກຄະລາກອນຕະຫຼອດຮອດການຈັດຕັ້ງກອງປະຊຸມໃຫຍ່.	Từ khâu chuẩn bị tài liệu, nhân sự cho đến khâu tổ chức hội nghị.
ບັນດາເອກະສານ, ໂດຍສະເພາະແມ່ນບົດລາຍງານການເມືອງ-ເອກະສານສຳຄັນຂອງແຕ່ລະກອງປະຊຸມໃຫຍ່ເຖິງເລື່ອງສຳຄັນແມ່ນກະກຽມບຸກຄະລາກອນ-ຖັນແຖວບຸກຄະລາກອນໃຫ້ແກ່ຊຸດໃໝ່ຢູ່ແຕ່ລະຂັ້ນ.	Các văn kiện, nhất là báo cáo chính trị - văn kiện trọng tâm của mỗi kỳ hội nghị đến điều quan trọng là chuẩn bị nhân sự - cán bộ cho cấp ủy mới.
ຍ້ອນແນວນັ້ນ, ຕ້ອງສືບຕໍ່, ເຮັດວຽກງານພະນັກງານເປັນປະຈຳ;	Vì vậy, cần tiếp tục, thường xuyên công tác cán bộ;
ພ້ອມທັງປະຕິບັດໃຫ້ສຳເລັດຂັ້ນຕອນ, ຂໍ້ກຳນົດ, ກົດລະບຽບທີ່ກ່ຽວຂ້ອງເຖິງວຽກງານບຸກຄະລາກອນ ແລະຄຸ້ມຄອງຖັນແຖວພະນັກງານຢ່າງມີປະຊາທິປະໄຕ, ເປີດເຜີຍ, ກະຈ່າງແຈ້ງ.	Hoàn thiện các quy trình, quy chế, nội quy, quy định liên quan đến công tác cán bộ và quản lý đội ngũ một cách dân chủ, công khai, rõ ràng.
ເພີ່ມທະວີການແບ່ງຂັ້ນຕິດພັນກັບການກວດກາ, ຕິດຕາມກວດກາ, ຄວບຄຸມສິດອຳນາດຢ່າງແໜ້ນແຟ້ນ, ມີປະສິດທິຜົນໃນວຽກງານຈັດຕັ້ງ, ພະນັກງານ.	Tăng hệ thống cấp bậc liên quan đến kiểm tra, giám sát, kiểm soát chặt chẽ về thẩm quyền, hiệu quả trong công việc của tổ chức, cán bộ.
ຍິ່ງກວ່າເວລາໃດໝົດ, ພະນັກງານ, ສະມາຊິກພັກ, ມະຫາຊົນແຕ່ລະຄົນຕ້ອງຍົກສູງຄວາມຮັບຜິດຊອບ, ຮ່ວມແຮງຮ່ວມໃຈກັນຄົ້ນພົບ, ສະເໜີຜູ້ທີ່ມີຄວາມເກັ່ງກ້າສາມາດໃຫ້ພັກ.	Hơn bao giờ hết, đội ngũ cán bộ, đảng viên, quần chúng nhân dân phải nêu cao trách nhiệm, chung sức phát hiện, luôn dũng cảm cống hiến cho đảng.
ກໍ່ຕ້ອງຈົດຈຳໄວ້ວ່າ, ພ້ອມກັບວິວັດການກະກຽມໃຫ້ແກ່ກອງປະຊຸມໃຫຍ່ຂອງພັກ, ຄະນະພັກ, ອຳນາດການປົກຄອງທຸກຂັ້ນຕ້ອງສຸມໃສ່ກຳລັງແຮງເຂົ້າໃນການຊີ້ນຳ, ນຳພາ, ສູ້ຊົນຍູ້ໄວ, ຍູ້ແຮງ, ເພື່ອສຳເລັດບັນດາຄາດໝາຍ, ເປົ້າໝາຍ, ໜ້າທີ່ ເຊິ່ງກອງປະຊຸມໃຫຍ່ຂອງພັກ ທຸກຂັ້ນໃນອາຍຸການກ່ອນວາງອອກ, ປະກອບສ່ວນປະຕິບັດສຳເລັດມະຕິກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XII ຂອງພັກ ໄດ້ຢ່າງມີິໄຊ.	Cần nhớ rằng, cùng với công tác chuẩn bị cho Đại hội Đảng, Trung ương Đảng và các cấp chính quyền phải tập trung chỉ đạo, lãnh đạo, nỗ lực, phấn đấu hoàn thành các mục tiêu, mục tiêu, nhiệm vụ mà Đại hội Đảng đã đạt được. trong phiên họp đầu tiên của Đại hội Đảng.
ກ່ຽວກັບວຽກງານພົວພັນຕ່າງປະເທດ, ປະຕິບັດບົດບາດເປັນປະທານອາຊຽນ 2020 ແລະເປັນກຳມະການບໍ່ປະຈຳການສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ ອາຍຸການ 2020-2021 ແລະຫຼາຍເຫດການການເມືອງສໍາຄັນຕ່າງໆໃຫ້ເປັນຢ່່າງດີ.	Về đối ngoại, ông từng là Chủ tịch ASEAN 2020 và Ủy viên không thường trực Hội đồng Bảo an Liên hợp quốc nhiệm kỳ 2020 - 2021 cùng nhiều sự kiện chính trị quan trọng khác.
90 ປີຜ່ານພົ້ນໄປ, ພັກເຮົາ-ເຊິ່ງແມ່ນພັກ ໂດຍລຸງໂຮ່ ທີ່ແສນເຄົາລົບຮັກສ້າງຂຶ້ນ, ຝຶກຝົນຫຼໍ່ຫຼອມ ແລະພັດທະນາຍັງບໍ່ມີຈັກເທື່ອທີ່ເຫີນຫ່າງຈາກເປົ້າໝາຍສູງສຸດຂອງຕົນ, ນັ້ນແມ່ນ, ເຮັດໃຫ້ປະຊາຊົນຮັ່ງມີ, ປະເທດຊາດເຂັ້ມແຂງ, ປະຊາທິປະໄຕ, ຍຸຕິທຳ ແລະສີວິໄລ.	90 năm sau, Đảng ta - Đảng do Bác Hồ sáng tạo, kiến tạo, rèn luyện và phát triển chưa bao giờ xa rời mục tiêu cuối cùng: dân giàu, nước mạnh, dân chủ, công bằng, văn minh.
ປີ 2020 ແລະຕະຫຼອດວິວັດການສືບທອດການປະຕິວັດໃນອະນາຄົດ, ດ້ວຍມູນເຊື້ອອັນສະຫງ່າລາສີ, ຜົນງານປະຕິວັດອັນໃຫຍ່ຫຼວງ ແລະທາດແທ້ອັນດີງາມ, ພັກເຮົາຈະສືບຕໍ່ສຳເລັດພາລະກຳທີ່ສະຫງ່າລາສີ ເຊິ່ງປະຊາຊົນມອບໝາຍໃຫ້ດ້ວຍຄວາມເຊື່ອໝ້ັນ ແລະຮັກແພງ.	Đến năm 2020 và trong suốt quá trình tiến hóa của cách mạng tương lai, với những di sản vẻ vang, những thành tựu cách mạng vĩ đại và thiên tài cao cả, Đảng ta sẽ tiếp tục hoàn thành sứ mệnh vẻ vang được nhân dân hết lòng tin yêu.
ອີກເທື່ອໜຶ່ງ, ເນື່ອງໃນໂອກາດປີໃໝ່ປະຈຳຊາດ, ອວຍພອນພັກເຮົາ, ປະເທດເຮົາ ແລະປະຊາຊົນເຮົາ ຈົ່ງປະສົບຜົນສຳເລັດໄດ້ຢ່າງມີໄຊ.	Một lần nữa, nhân dịp năm mới, xin kính chúc Đảng ta, đất nước và nhân dân ta thành công.
ນັກຂ່າວ: ຂໍຂອບໃຈ!	PV: Xin cảm ơn!
