ກປ.ອອນໄລ - ວັນທີ 8 ກໍລະກົດ, ກອງປະຊຸມສູນກາງ ຄັ້ງທີ 3 ໄດ້ດໍາເນີນພິທີອັດກອງປະຊຸມ.	KPR Online - Ngày 8/7, Hội đồng Đội Trung ương 3 tổ chức bế mạc kỳ họp.
ນີ້ແມ່ນບັນດາພື້ນຖານສຳຄັນ, ປະກອບສ່ວນຍົກສູງຄຸນນະພາບ, ປະສິດທິຜົນການເຄື່ອນໄຫວຂອງພັກ, ເພີ່ມທະວີກຳລັງແຮງ, ກົດລະບຽບຂໍ້ບັງຄັບ, ເສີມຂະຫຍາຍປະຊາທິປະໄຕ, ຮັກສາຄວາມສາມັກຄີເປັນເອກະພາບໃນພັກ, ປ່ຽນແປງໃໝ່ແບບວິທີນຳພາຂອງພັກຕໍ່ກັບລັດ ແລະສັງຄົມ.	Đây là những nền tảng quan trọng, góp phần nâng cao chất lượng, hiệu quả hoạt động của Đảng, nâng cao sức mạnh, điều lệ, quy chế, tăng cường dân chủ, giữ vững sự đoàn kết thống nhất của Đảng, đổi mới phương thức tiếp cận của Đảng đối với nhà nước và xã hội.
ບັນຍາກາດທີ່ວາລະອັດກອງປະຊຸມ ຄັ້ງທີ 3, ຄະນະບໍລິຫານງານສູນກາງພັກ ສະໄໝທີ XIII.	Không khí chương trình Hội nghị lần thứ ba Ban Chấp hành Trung ương Đảng khóa XIII.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກອງປະຊຸມສູນກາງ ຄັ້ງນີ້ກໍ່ສະຫງວນເວລາຫຼາຍ, ສຸມໃສ່ປຶກສາຫາລື, ຕົກລົງບັນດາບັນຫາກ່ຽວຂ້ອງເຖິງປັດໄຈສ້າງກຳລັງແຮງໃຫ້ພັກ-ນັ້ນແມ່ນກົດວິໄນຂອງພັກ.	Hội nghị trung ương đã dành nhiều thời gian để tập trung thảo luận, thống nhất những vấn đề liên quan đến thế mạnh của Đảng - đó là kỷ luật của đảng.
ສູນກາງ ບໍ່ພຽງແຕ່ຕັດສິນບັນດາຮູບການລົງໂທດຢ່າງເໝາະສົມ, ເຂັ້ມງວດຕໍ່ກັບບັນດາສະມາຊິກພັກ ທີ່ລະເມີດກົດໝາຍເທົ່ານັ້ນ ຫາກຍັງສຸມໃສ່ປະກອບຄຳເຫັນ, ສຳເລັດຂໍ້ກຳນົດດຳເນີນກົດລະບຽບພັກ ແລະຂໍ້ກຳນົດກ່ຽວກັບວຽກງານກວດກາ, ຕິດຕາມກວດກາ, ການປະຕິບັດວິໃນຂອງພັກ ສະໄໝທີ XIII.	Ban Chấp hành Trung ương không chỉ có chế tài thích đáng, nghiêm minh đối với đảng viên vi phạm pháp luật mà còn tập trung góp ý, hoàn thiện các quy định, điều lệ đảng, quy chế kiểm tra, giám sát, quy trình của Đảng khóa XIII.
ພ້ອມກັນນັ້ນ, ກອງປະຊຸມສູນກາງ ຄັ້ງທີ 3 ກໍ່ໄດ້ສຳເລັດວຽກງານສຳຄັນພິເສດ, ແມ່ນສືບຕໍ່ປັບປຸງບຸກຄະລາກອນບັນດາຕຳແໜ່ງການນຳບັນດາອົງການຂອງລັດ ອາຍຸການສະພາແຫ່ງຊາດ ຊຸດທີ XV ເພື່ອໃຫ້ສະພາແຫ່ງຊາດປ່ອນບັດເລືອກຕັ້ງ ແລະໃຫ້ສັດຕະຍາບັນທີ່ກອງປະຊຸມຄັ້ງປະຖົມມະເລີກ, ສະພາແຫ່ງຊາດ ຊຸດທີ XV ຈະມາເຖິງ.	Đồng thời, Ban Chấp hành Trung ương khóa III đã hoàn thành các nhiệm vụ đặc biệt, tiếp tục hoàn thiện nhân sự các cơ quan của Quốc hội khóa XV để Quốc hội biểu quyết, phê chuẩn kỳ họp thứ 7, Quốc hội khóa XV sắp tới.
ຕ້ອງເຫັນໄດ້ວ່າ, ກອງປະຊຸມສູນກາງ ຄັ້ງນີ້ໄດ້ດຳເນີນໃນເງື່ອນໄຂພະຍາດໂຄວິດ-19 ແຜ່ລະບາດຢ່າງສັບສົນຢູ່ຫຼາຍທ້ອງຖິ່ນ.	Cần lưu ý rằng cuộc họp trung ương lần này được tổ chức trong bối cảnh tình hình dịch-19 đang bùng phát phức tạp tại nhiều địa phương.
ສູນກາງ ໄດ້ວາງອອກບັນຫານີ້ໃນຕໍ່ໜ້າແມ່ນສຸມໃສ່ນຳພາທົ່ວພັກ, ທົ່ວປວງຊົນ, ທົ່ວກອງທັບສືບຕໍ່ຮ່ວມແຮງຮ່ວມໃຈ, ເປັນຈິດໜຶ່ງໃຈດຽວທັງເປັນເຈົ້າການ, ຕັ້ງໜ້າປ້ອງກັນ, ຕ້ານໂລກລະບາດ.	Trung tâm đặt vấn đề này trong thời gian tới, tập trung sự lãnh đạo của toàn Đảng, toàn dân, toàn quân, tiếp tục chung sức đoàn kết, chung sức, chung lòng, lập công phòng chống dịch.
ທັງມານະພະຍາຍາມສູ້ຊົນສຳເລັດເປົ້າໝາຍ, ໜ້າທີ່ພັດທະນາເສດຖະກິດ-ສັງຄົມ, ສຳເລັດບັນດາເປົ້າໝາຍ ປີ 2021.	Chúng ta đang phấn đấu thực hiện các mục tiêu, mục tiêu phát triển kinh tế - xã hội, mục tiêu đến năm 2021.
ບົນຈິດໃຈດັ່ງກ່າວ, ສູນກາງ ໄດ້ປຶກສາຫາລືລົງເລິກ, ຮອບດ້ານບັນດາເນື້ອໃນຂອງແຜນພັດທະນາເສດຖະກິດ-ສັງຄົມ ໄລຍະ 5 ປີ (2021-2025) ແລະຍຸດທະສາດພັດທະນາເສດຖະກິດ-ສັງຄົມ ໄລຍະ 10 ປີ (2021-2030).	Với suy nghĩ này, Trung tâm đã đi sâu thảo luận về các nội dung của Kế hoạch phát triển kinh tế - xã hội 5 năm (2021-2025) và Chiến lược phát triển kinh tế - xã hội 10 năm (2021-2030).
ນີ້ແມ່ນບັນດາແຜນການທີ່ສໍາຄັນຍິ່ງ, ກວ້າງໃຫຍ່, ມີຄວາມໝາຍຕັດສິນການປະຕິບັດສຳເລັດເປົ້າໝາຍ, ໜ້າທີ່ພັດທະນາເສດຖະກິດ-ສັງຄົມ ໂດຍກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ ວາງອອກຢ່າງມີໄຊ.	Đây là những kế hoạch quan trọng, toàn diện, có ý nghĩa quyết định đến việc thực hiện thắng lợi các mục tiêu, mục tiêu phát triển kinh tế - xã hội mà Đại hội Đảng lần thứ 13 đã đề ra.
ດ້ວຍຈິດໃຈຮັບຜິດຊອບສູງ, ຜົນສຳເລັດຂອງກອງປະຊຸມສູນກາງ ຄັ້ງທີ 3 ໄດ້ສ້າງກຳລັງໜູນ ແລະຄວາມຕັດສິນໃຈໃໝ່ໃນເງື່ອນໄຂປະເທດພວມປະເຊີນໜ້າກັບຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍຫຼາຍຢ່າງ.	Với tinh thần trách nhiệm, thành công của Hội nghị Trung ương ba đã tiếp thêm động lực và quyết tâm cho đất nước đang gặp nhiều khó khăn, thách thức.
ຕາມນັ້ນແລ້ວ, ເຖິງວ່າຫວຽດນາມ ຍາດໄດ້ຜົນງານຈຳນວນໜຶ່ງໃນຫຼາຍຂົງເຂດ ແລະໄດ້ເພື່ອນມິດສາກົນຍ້ອງຍໍຊົມເຊີຍ, ຕີລາຄາສູງຍ້ອນມີຜົນສຳເລັດໃນການປ້ອງກັນ, ຕ້ານ, ຄວບຄຸມພະຍາດໂຄວິດ-19...	Theo đó, Việt Nam mặc dù đã đạt được một số thành tựu trên nhiều lĩnh vực, được bạn bè quốc tế khen ngợi, đánh giá cao về thành tích phòng, chống và kiểm soát dịch bệnh.
ກໍ່ຕາມ, ແຕ່ວ່າໃນ 6 ເດືອນຕົ້ນປີ 2021, ເສດຖະກິດ-ສັງຄົມຂອງປະເທດຍັງບໍ່ທັນບັນລຸໄດ້ເປົ້າໝາຍທີ່ໄດ້ວາງອອກເທື່ອ;	Tuy nhiên, trong sáu tháng đầu năm 2021, tình hình kinh tế - xã hội của cả nước vẫn chưa đạt mục tiêu đề ra;
ໂລກລະບາດອາດສາມາດສືບຕໍ່ແກ່ຍາວ, ຊ້ຳບໍ່ໜຳມີຄວາມອັນຕະລາຍ, ແຜ່ລະບາດໃນວົງກວ້າງ ແລະໄວກວ່າ.	Các đợt bùng phát dường như trở nên trầm trọng hơn khi mang thai và ở trẻ em.
ເພາະສະນັ້ນ, ທຸກຂັ້ນ, ຂະແໜງການ, ທ້ອງຖິ່ນ, ກົມກອງ ເດັດຂາດບໍ່ໄດ້ປະໝາດ, ຕ້ອງສືບຕໍ່ຜັນຂະຫຍາຍການປະຕິບັດບັນດາແຜນນະໂຍບາຍ, ມາດຕະການຂອງສູນກາງດ້ວຍຈິດໃຈຮີບດ່ວນ, ຂ້ຽວຂາດ, ມີຄວາມຮັບຜິດຊອບສູງສຸດ.	Vì vậy, các cấp, chính quyền địa phương, Bộ CHQS tỉnh không được lơ là, phải tiếp tục thực hiện các chủ trương, biện pháp của Trung ương với tinh thần khẩn trương, mẫn cán, trách nhiệm cao nhất.
ພາຍຫຼັງກອງປະຊຸມຄັ້ງນີ້, ຄະນະພັກ, ອົງການຈັດຕັ້ງພັກທຸກຂັ້ນ, ພະນັກງານ, ສະມາຊິກພັກແຕ່ລະຄົນຕ້ອງຍົກສູງຈິດໃຈຮັບຜິດຊອບຕໍ່ພັກ, ຕໍ່ປະຊາຊົນ ແລະປະເທດ;	Sau đại hội này, cấp ủy, tổ chức Đảng các cấp, đội ngũ cán bộ, đảng viên phải nêu cao tinh thần trách nhiệm trước Đảng, trước nhân dân, trước Tổ quốc;
ສຸມໃສ່ຊີ້ນຳ, ນຳພາຊາບຊຶມ, ຈັດຕັ້ງການປະຕິບັດມະຕິ, ຂໍ້ສະຫຼຸບຂອງກອງປະຊຸມສູນກາງ ແລະມະຕິສະບັບຕ່າງໆຂອງສູນກາງ, ຂອງສະພາແຫ່ງຊາດ, ລັດຖະບານເປັນຢ່າງດີ;	Tập trung hướng dẫn, chỉ đạo, triển khai thực hiện tốt các nghị quyết, kết luận của Hội nghị Trung ương và các nghị quyết khác của Trung ương, Quốc hội, Chính phủ;
ມານະພະຍາຍາມຜ່ານຜ່າທຸກຄວາມຫຍຸ້ງຍາກ, ສຳເລັດບັນດາເປົ້າໝາຍ, ໜ້າທີ່ມະຕິກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກວາງອອກ.	Chúng ta sẽ nỗ lực vượt qua mọi khó khăn, hoàn thành các mục tiêu, mục tiêu mà nghị quyết Đại hội Đảng bộ thành phố lần thứ 13 đã đề ra.
ໃນຂົງເຂດເສດຖະກິດ, ບັນດາຂັ້ນຕ້ອງສຸມໃສ່ຊາບຊຶມ, ສ້າງຄວາມເຫັນດີເປັນເອກະພາບສູງຕໍ່ທັດສະນະ, ແນວຄິດຊ້ີ້ນຳ, ເປົ້າໝາຍສັງລວມ, ໜ້າທີ່ຕົ້ນຕໍ, ເປົ້າໝາຍພື້ນຖານຈຳນວນໜຶ່ງ;	Trong lĩnh vực kinh tế, các khâu cần tập trung thẩm thấu, xây dựng sự nhất trí cao về quan điểm, tư tưởng tối, mục tiêu tổng hợp, nhiệm vụ chủ yếu, một số mục tiêu cơ bản;
ພິເສດແມ່ນບັນດາກົນໄກ, ນະໂຍບາຍ, ມາດຕະການລະອຽດ, ໃກ້ຊິດກັບຕົວຈິງ, ມີລັກສະນະບຸກທະລຸ, ມີຄວາມເປັນໄປໄດ້ສູງ, ຮັບປະກັນປະຕິບັດບັນດາແຜນການເສດຖະກິດ-ສັງຄົມໄລຍະ 5 ປີ, 10 ປີ ປະສົບຜົນສຳເລັດ.	Đặc biệt chú trọng các cơ chế, chính sách, biện pháp chi tiết, sát thực tế, có tính đột phá, xác suất cao, bảo đảm thực hiện thắng lợi kế hoạch kinh tế - xã hội 5 năm và 10 năm.
ດ້ວຍມູນເຊື້ອສະຫງ່າລາສີ, ຄວາມຮັບຜິດຊອບດ້ານການເມືອງທີ່ສູງສົ່ງ, ພະນັກງານ, ສະມາຊິກພັກໃນທົ່ວພັກ ເວົ້າລວມ ແລະອົງຄະນະພັກກອງທັບໝັ້ນໝາຍວ່າ ຈະເຮັດຈົນສຸດຄວາມສາມາດ, ປະກອບພູມປັນຍາ, ເປັນແບບຢ່າງນຳໜ້າໃນການຜັນຂະຫຍາຍການປະຕິບັດມະຕິ, ຂໍ້ສະຫຼຸບຂອງກອງປະຊຸມສູນກາງ ຄັ້ງທີ 3, ສະໄໝ XIII ໃຫ້ມີປະສິດທິຜົນ;	Với bản lĩnh vẻ vang, trách nhiệm chính trị cao, đội ngũ cán bộ, đảng viên trong toàn Đảng bộ, toàn Đảng bộ, lực lượng vũ trang sẽ nỗ lực hết mình, nêu cao trí tuệ, làm gương trong thực hiện các nghị quyết, kết luận của Ban Chấp hành Trung ương khóa III.
ອອກແຮງປົກປັກຮັກສາສະພາບແວດລ້ອມສັນຕິພາບ, ເງື່ອນໄຂປອດໄພເພື່ອໃຫ້ປະເທດພັດທະນາ;	Hoạt động bảo vệ môi trường hòa bình, điều kiện an toàn để phát triển đất nước;
ປົກປັກຮັກສາປະເທດຫວຽດນາມ ສັງຄົມນິຍົມ ໝັ້ນຄົງເຂັ້ມແຂງ;	Giữ gìn nước Việt Nam xã hội chủ nghĩa vững mạnh;
ປະຕິບັດໜ້າທີ່ການເມືອງເຊິ່ງພັກ, ລັດ, ປະຊາຊົນມອບໝາຍໃຫ້ຢ່າງມີໄຊ;	Thực hiện thắng lợi nhiệm vụ chính trị mà đảng, nhà nước và nhân dân giao cho;
ປະກອບສ່ວນຢ່າງຕັ້ງໜ້າ ແລະສຳຄັນເຂົ້າໃນການຕໍ່ສູ້ຍູ້ພະຍາດໂຄວິດ-19 ໃຫ້ຖອຍໄປໂດຍໄວ...	Đóng góp nghiêm túc và quan trọng trong cuộc chiến chống lại Kovid-19 để loại bỏ nó một cách nhanh chóng ...
ນັ້ນແມ່ນວິທີການ ເຊິ່ງກອງທັບປະຊາຊົນຫວຽດນາມ ນຳມະຕິ, ຂໍ້ສະຫຼຸບຂອງສູນກາງ ເຂົ້າສູ່ຊີວິດໂດຍໄວ.	Đó là cách Quân đội nhân dân Việt Nam đưa nghị quyết, kết luận của trung tâm nhanh chóng vào cuộc sống.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
